36683.3333 15133.3333
36716.6667 14683.3333
36716.6667 14733.3333
36716.6667 14850.0000
36716.6667 15000.0000
36716.6667 15083.3333
36733.3333 14800.0000
36733.3333 15033.3333
36733.3333 15100.0000
36750.0000 14633.3333
36750.0000 14983.3333
36766.6667 14733.3333
36766.6667 14800.0000
36766.6667 15016.6667
36766.6667 15066.6667
36783.3333 12033.3333
36783.3333 14483.3333
36783.3333 14550.0000
36783.3333 14700.0000
36783.3333 14916.6667
36783.3333 15050.0000
36800.0000 14983.3333
36800.0000 15100.0000
36816.6667 14566.6667
36816.6667 14950.0000
36816.6667 14983.3333
36833.3333 11950.0000
36833.3333 14516.6667
36833.3333 15033.3333
36850.0000 15116.6667
36866.6667 14466.6667
36866.6667 14633.3333
36866.6667 14766.6667
36866.6667 15133.3333
36883.3333 14433.3333
36883.3333 14516.6667
36883.3333 14566.6667
36883.3333 14966.6667
36883.3333 15066.6667
36900.0000 14916.6667
36900.0000 15083.3333
36900.0000 15133.3333
36916.6667 14633.3333
36916.6667 14733.3333
36933.3333 14600.0000
36933.3333 14966.6667
36933.3333 15066.6667
36950.0000 14533.3333
36950.0000 14800.0000
36950.0000 14933.3333
36950.0000 15133.3333
36966.6667 14750.0000
36966.6667 14800.0000
36966.6667 14966.6667
36966.6667 15183.3333
36983.3333 14533.3333
36983.3333 14933.3333
36983.3333 14966.6667
36983.3333 15033.3333
36983.3333 15116.6667
36983.3333 15233.3333
37000.0000 14383.3333
37033.3333 14466.6667
37033.3333 14700.0000
37033.3333 15066.6667
37050.0000 14800.0000
37050.0000 15050.0000
37066.6667 14250.0000
37066.6667 14900.0000
37066.6667 15300.0000
37083.3333 14550.0000
37083.3333 14766.6667
37083.3333 14883.3333
37083.3333 15150.0000
37083.3333 15266.6667
37100.0000 13933.3333
37100.0000 14500.0000
37100.0000 15116.6667
37100.0000 15216.6667
37100.0000 15233.3333
37100.0000 15266.6667
37116.6667 14933.3333
37116.6667 15266.6667
37133.3333 14300.0000
37133.3333 14733.3333
37133.3333 14850.0000
37133.3333 14900.0000
37133.3333 15016.6667
37150.0000 14383.3333
37150.0000 14700.0000
37150.0000 15033.3333
37150.0000 15183.3333
37166.6667 13716.6667
